PARK_ID,RINK_ID,NAME,ADDRESS,WARD,ALTERNATE_NAME,MAJOR_CROSSSTREETS,FACILITY,PUBLIC_CHANGE_SPACE,BOARDS_Y_N,BOARDS_TYPE,TOILET,LIGHTS_TYPE,RINK_TYPE,SUPERVISION,ICE_MAINTENANCE,PARK_ADDRESS_FR,INSTALLATION_FR,SPACE_CHANGEMENT_PUBLIQUE_FR,PANNEAUX_Y_N_FR,PANNEAUX_FR,TOILETTE_FR,LUMI?RES_FR,PATINOIRE_TYPE_FR,SUPERVISION_FR,NAME_FR,OPEN_2012,Latitude,Longitude
728,26,MORRISON PARK,1095 MORRISON DR Old Ottawa,8,,Morrison/Greenbank,SHACK,YES,YES,TEMP,NO,TEMP,RINK with Puddle,YES,Community,"1095, prom MORRISON",Cabane,Oui,Oui,Temp,Non,Oui,patinoire avec flaque,Oui,PARC MORRISON,Y,45.34517538150,-75.79426906460
1661,57,CRESTHAVEN PARK,28 CRESTHAVEN DRIVE Nepean,22,,Prince of Wales/Crestway,NONE,NO,YES,TEMP,NO,PERM,RINK with Puddle,NO,Community,"28, prom CRESTHAVEN",None,Non,Oui,Temp,Non,Oui,patinoire avec flaque,Non,PARC CRESTHAVEN,Y,45.28342144340,-75.70759386880
1022,17,KILREEN PARK,1250 SOUTHWOOD DR Old Ottawa,8,,Baseline/Kilreen,NONE,NO,YES,TEMP,YES,TEMP,Double Surface,NO,Community,"1250, prom SOUTHWOOD",None,Non,Oui,Temp,Oui,Oui,surface double,Non,PARC KILREEN,Y,45.34594936160,-75.78286502970
1652,61,GROVEHURST PARK,100 GROVEHURST DR Nepean,22,,Woodroffe/Standherd,NONE,NO,YES,TEMP,NO,PERM,RINK with Puddle,NO,Community,"100, prom GROVEHURST",None,Non,Oui,Temp,Non,Oui,patinoire avec flaque,Non,PARC GROVEHURST,Y,45.27679536260,-75.71219427270
104,2,BEL-AIR PARK,2149 BERWICK AVE Old Ottawa,8,,Woodroffe/Iris,FIELDHOUSE,YES,YES,TEMP,YES,TEMP,Double Surface (Low Boards),YES,Community,"2149, av BERWICK",Pavillon,Oui,Oui,Temp,Oui,Oui,surface double (conseils faible),Oui,PARC BEL-AIR,Y,45.35747586640,-75.76293599790
1678,159,PORTOBELLO PARK,670 AQUAVIEW DR Cumberland,19,,1oth line/Blackburn Bypass,NONE,,YES,TEMP,NO,PERM,RINK with Puddle,NO,Community,"670, prom AQUAVIEW",None,,Oui,Temp,Non,Oui,patinoire avec flaque,Non,PARC PORTOBELLO,Y,45.45754310790,-75.46984526680
155,140,HAROLD DICEMAN PARK,30 DICEMAN CRES Gloucester,2,,Ridgeburn Gate/Diceman,NONE,,NO,NONE,NONE,NONE,Puddle,NO,Community,"30, crois DICEMAN",None,,Non,Non,Non,Non,flaque,Non,PARC HAROLD-DICEMAN,Y,45.43797199790,-75.56181613520
1732,125,UPCOUNTRY PARK,310 UPCOUNTRY DR Goulbourn,6,,Hartsmere/Upcountry,NONE,,NO,NONE,NO,NONE,Puddle,NO,Community,"310, prom UPCOUNTRY",None,,Non,Non,Non,Non,flaque,Non,PARC UPCOUNTRY,Y,45.24583207670,-75.91012735630
589,126,VERNON RECREATION CENTRE,7950 LAWRENCE ST Osgoode,20,,Bank/Lawrence,COMMUNITY CENTER,,YES,TEMP,NO,NONE,Rink,NO,Community,"7950, rue LAWRENCE",Centre communautaire,,Oui,Temp,Non,Non,patinoire,Non,CENTRE R?CR?ATIF DE VERNON,Y,45.16275715410,-75.45332747330
1712,95,COYOTE RUN PARK,367 WEST RIDGE DRIVE Goulbourn,6,,West Ridge/Coyote,NONE,NO,NO,NONE,NO,NO,Puddle,NO,Community,"367, prom WEST RIDGE",None,Non,Non,Non,Non,Non,flaque,Non,PARC COYOTE RUN,Y,45.24634770400,-75.91974261710
2388,74,RIVER RUN PARK,3490 RIVER RUN AVE Nepean,3,Half Moon Bay,,NONE,NO,YES,TEMP,NO,PERM,Rink,NO,Community,"3490, av RIVER RUN",None,Non,Oui,Temp,Non,Oui,patinoire,Non,PARC RIVER RUN,Y,45.25263779470,-75.74409108180
80,25,MORGAN'S GRANT,1365 HALTON TER Kanata,4,Klondike,March/Terry Fox,NONE,NO,YES,PERM,NO,TEMP,Rink,NO,Community,"1365, terr HALTON",None,Non,Oui,Perm,Non,Oui,patinoire,Non,PARC KLONDIKE ROAD,Y,45.34909918210,-75.93801281400
134,89,BREWER PARK (OVAL),100 BREWER WAY Old Ottawa,17,,Sunnyside/Seneca,SHACK + TRAILER + ARENA,,YES,TEMP,YES,TEMP,RINK with Puddle + OVAL,YES,Community,"100, voie BREWER",Cabane,,Oui,Temp,Oui,Oui,patinoire avec flaque et OVAL,Oui,PARC BREWER,Y,45.38830390560,-75.68971051630
1741,276,PIONEER PLAINS PARK,1018 STITTSVILLE MAIN ST Goulbourn,6,,,,,,,,,,,,PARC PIONEER PLAINS,,,,,,,,,PARC PIONEER PLAINS,Y,45.27710959920,-75.93355728910
2130,275,FOSTERBROOK PARK,428 FOSTERBROOK WAY Nepean,3,,,,,,,,,,,,"428, voie FOSTERBROOK",,,,,,,,,PARC FOSTERBROOK,Y,45.26800701800,-75.77710569260
2255,63,KILBIRNIE PARK,665 KILBIRNIE DR Nepean,3,,,NONE,NO,YES,TEMP,NO,PERM,Rink with Puddle,NO,Community,"665, prom KILBIRNIE",None,Non,Oui,Temp,Non,Oui,patinoire avec flaque,Non,PARC KILBIRNIE,Y,45.24746288960,-75.72419132720
2120,130,AQUAVIEW,318 AQUAVIEW DR Cumberland,19,"Formerly known as ""Portabello 2""",,,,,,,,Puddle,NO,Community,"318, prom AQUAVIEW",,,,,,,flaque,Non,SENTIER DE LIAISON,Y,45.45341162520,-75.47726418190
0,136,BRADLEY RIDGE,221 RADHIKA CRT Gloucester,2,,Renaud / Joshua,,,,,,,Puddle,NO,,"221, cour RADHIKA",,,,,,,flaque,Non,BRADLEY RIDGE,Y,45.42722154570,-75.52611807350
1960,160,PROVENCE,2095 PROVENCE AVE Cumberland,19,,,NONE,NO,NO,NONE,NO,NO,Puddle,NO,Community,"2095, av PROVENCE",None,Non,Non,Non,Non,Non,flaque,Non,PARC PROVENCE,Y,45.46060464500,-75.45686676180
1029,229,PAGET,801 SPRINGLAND DR Old Ottawa,16,"replaces ""Bayview""",E Map,NONE,NO,NO,NONE,NO,NO,Puddle,NO,Community,"801, prom SPRINGLAND",None,Non,Non,Non,Non,Non,flaque,Non,PARC PAGET,Y,45.36992955130,-75.68526216370
466,230,PAULINE VANIER PARK,1015 HARKNESS AVE Old Ottawa,16,,Harkeness/Avoncourt,BRICK FIELDHOUSE,YES,YES,TEMP,YES,BOTH,RINK with Puddle,YES,Community,"1015, av HARKNESS",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC PAULINE-VANIER,Y,45.36721453500,-75.67655096010
328,174,BALENA PARK,1640 DEVON ST Old Ottawa,18,,Industrial/Russell,FIELDHOUSE,YES,NO,NONE,YES,TEMP,Double Surface,YES,Community,"1640, rue DEVON",Pavillon,Oui,Non,Non,Oui,Oui,surface double,Oui,PARC BALENA,Y,45.40565835750,-75.64407423440
1021,240,SHEFFIELD GLEN PARK,2320 SOUTHVALE CRES Old Ottawa,18,,Russell/Southvale,FIELDHOUSE,YES,YES,TEMP,YES,BOTH,RINK with Puddle,YES,Community,"2320, crois SOUTHVALE",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC SHEFFIELD GLEN,Y,45.39829910250,-75.61348225390
832,243,WESTON PARK,955 PLEASANT PARK RD Old Ottawa,18,,Pleasant Park/Valley,FIELDHOUSE,YES,YES,TEMP,YES,BOTH,RINK with Puddle,YES,Community,"955, ch PLEASANT PARK",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC WESTON,Y,45.39576806800,-75.62455899020
831,232,PLAYFAIR PARK,1801 PLAYFAIR DR Old Ottawa,18,,Playfair/Beaumont,BRICK FIELDHOUSE,YES,YES,TEMP,NO,TEMP,RINK with Puddle,YES,Community,"1801, prom PLAYFAIR",Pavillon,Oui,Oui,Temp,Non,Oui,patinoire avec flaque,Oui,PARC PLAYFAIR,Y,45.39122057520,-75.64488566390
363,234,RIDEAUVIEW PARK,960 EIFFEL AVE Old Ottawa,16,,Eiffel/Bellamy,BRICK FIELDHOUSE,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"960, av EIFFEL",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC RIDEAUVIEW,Y,45.36743568600,-75.70664925930
479,222,HERON PARK,999 HERON RD Old Ottawa,17,,Heron/Clover,BRICK FIELDHOUSE,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"999, ch HERON",Pavillon,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC HERON,Y,45.37879794970,-75.67722104240
1090,220,HAWTHORNE PARK,2139 TAWNEY RD Old Ottawa,18,,Tawney/Joliffe,FIELDHOUSE,YES,NO,NONE,YES,TEMP,Double Surface,YES,Community,"2139, ch TAWNEY",Pavillon,Oui,Non,Non,Oui,Oui,surface double,Oui,PARC HAWTHORNE,Y,45.39390000260,-75.61550000040
76,112,LAROCHE PARK,52 BAYVIEW RD Old Ottawa,15,,Scott/Hinchey,FIELDHOUSE,,YES,TEMP,YES,PERM,RINK with Puddle,YES,Community,"52, ch BAYVIEW",Pavillon,,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC LAROCHE,Y,45.40839305050,-75.72852728340
840,122,PLOUFFE PARK,130 PRESTON ST Old Ottawa,14,,Somerset/Preston,COMMUNITY CENTER,,YES,TEMP,YES,PERM,RINK with Puddle,YES,Community,"130, rue PRESTON",Centre communautaire,,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC PLOUFFE,Y,45.40725703880,-75.71409672290
759,198,PALMERSTON PARK,1326 OGILVIE RD Gloucester,11,,Ogilvie/Palmerston,FIELDHOUSE,YES,YES,TEMP,NO,PERM,Double Surface (End Boards),YES,Community,"1326, ch OGILVIE",Pavillon,Oui,Oui,Temp,Non,Oui,surface double (conseils de fin),Oui,PARC PALMERSTON,Y,45.42920000200,-75.62254999980
213,179,CEDARCROFT PARK,1200 CEDARCROFT CRES Gloucester,11,,Blar Meadowbrook,(NONE) NO TRAILER,NO,YES,PERM,NO,PERM,Rink,NO,City,"1200, crois CEDARCROFT",Aucon,Non,Oui,Perm,Non,Oui,patinoire,Non,PARC CEDARCROFT,Y,45.42450753640,-75.61308285780
613,226,LEXINGTON PARK,1404 LEXINGTON ST Old Ottawa,16,,Lexington/Hudson,NONE,NO,NO,NONE,NO,PERM,Puddle,NO,Community,"1404, rue LEXINGTON",None,Non,Non,Non,Non,Oui,flaque,Non,PARC LEXINGTON,Y,45.36903696490,-75.71156451880
1186,129,WINDSOR PARK OTTAWA,1 WINDSOR AVE Old Ottawa,17,,Riverdale/Windsor,FIELDHOUSE,,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"1, av WINDSOR",Pavillon,,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC WINDSOR (OTTAWA),Y,45.39398333550,-75.67626666610
170,93,CHAMPLAIN PARK,140 CARLETON AVE Old Ottawa,15,,Island Park/Clearview,COMMUNITY BUILDING,,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"140, av CARLETON",Installation communautaire,,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC CHAMPLAIN,Y,45.40489357460,-75.74552363810
873,197,OVERBROOK PARK,33 QUILL ST Old Ottawa,13,,Queen Mary/Quill,COMMUNITY CENTER,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"33, rue QUILL",Centre communautaire,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC OVERBROOK,Y,45.42525094640,-75.65605477850
132,192,MANOR PARK,100 BRAEMAR ST Old Ottawa,13,,Hemlock/Thornwood,COMMUNITY BUILDING,YES,YES,TEMP,YES,TEMP,RINK with Puddle,YES,Community,"100, rue BRAEMAR",Installation communautaire,Oui,Oui,Temp,Oui,Oui,patinoire avec flaque,Oui,PARC MANOR,Y,45.45134104140,-75.65700697880
