OBJECTID,PARK_ID,FACILITYID,ADDRESS,SURFACE,CAPACITY,HANDICAP,PAY_PARK,PAY_TYPE,LIGHTING,FENCED,Latitude,Longitude
196,657,25176,110 MALVERN DR Nepean,asphalt,200,10,n,none,y,n,45.2811184362,-75.7616409544
197,628,25178,700 LONGFIELDS DR Nepean,asphalt,100,2,n,none,n,n,45.2812902174,-75.7425335809
198,988,25179,681 SEYTON DR Nepean,asphalt,30,2,n,none,y,n,45.3151333353,-75.8353666661
199,10,25180,3939 ALBION RD Gloucester,gravel,40,1,n,none,n,y,45.3411810273,-75.6352223862
200,1111,25181,3580 TRAPPER'S RD Gloucester,asphalt,15,1,n,none,n,n,45.3470614689,-75.6446120623
201,307,25182,3380 D'AOUST AVE Gloucester,asphalt,50,3,n,none,y,n,45.3500833354,-75.6362000003
202,1031,25183,1735 ST. BERNARD ST Gloucester,asphalt,8,0,n,none,n,n,45.3518093021,-75.6257535079
203,1007,25184,1779 ST. BARBARA ST Gloucester,asphalt,10,0,n,none,n,y,45.3555125746,-75.6250798905
204,964,25185,2999 SABLE RIDGE DR Gloucester,asphalt,25,2,n,none,n,n,45.3561133024,-75.6358787268
205,970,25186,3585 SARSFIELD RD Cumberland,asphalt,44,1,n,none,n,n,45.4406000028,-75.3431999998
206,376,4961,294 ELMGROVE AVENUE Old Ottawa,asphalt,20,0,n,none,y,n,45.394285915,-75.7526657494
207,798,6009,645 PARKVIEW RD Old Ottawa,asphalt,50,0,n,none,n,n,45.387152546,-75.7384080089
208,79,4901,141 BAYVIEW RD Old Ottawa,asphalt,75,3,n,none,y,n,45.4078055524,-75.7219536371
209,1168,4985,40 FAIRMONT AVE Old Ottawa,asphalt,35,4,n,none,n,n,45.4032696952,-75.7242689063
210,793,25188,366 PARKDALE AVE Old Ottawa,asphalt,16,0,y,meters,n,n,45.4015498329,-75.7299385152
211,793,25189,366 PARKDALE AVE Old Ottawa,asphalt,16,0,y,meters,n,n,45.401425581,-75.7305075482
212,223,4989,80 CHAMBERLAIN AVE Old Ottawa,asphalt,15,0,n,none,n,n,45.4061032414,-75.6962626762
213,940,4992,2960 RIVERSIDE DR Old Ottawa,asphalt,112,3,n,none,y,n,45.3694112491,-75.6907829364
214,1186,25190,1 WINDSOR AVE Old Ottawa,asphalt,25,0,n,none,n,n,45.3931928896,-75.6769538806
215,522,4958,320 JACK PURCELL LANE Old Ottawa,asphalt,7,3,n,permit,n,n,45.4155988512,-75.6891215464
216,508,4959,3 HURDMAN RD Old Ottawa,gravel,30,0,n,none,n,y,45.418208914,-75.6687875119
217,660,4980,41 ROBINSON AVE Old Ottawa,asphalt,10,0,n,none,n,y,45.421933336,-75.6686833333
218,658,4972,60 MANN AVE Old Ottawa,asphalt,100,3,n,none,y,n,45.4192361062,-75.6748588781
219,1191,25191,72 MEDHURST DR Nepean,asphalt,20,0,n,none,n,n,45.3358000024,-75.7457666671
220,705,25193,1765 MERIVALE RD Nepean,asphalt,80,4,n,none,n,n,45.3416000022,-75.7272833334
221,269,25194,15 COLONNADE RD Nepean,gravel,50,0,n,none,n,y,45.3443595139,-75.7173074379
222,1207,25195,1701 WOODROFFE AVE Nepean,asphalt,500,10,n,none,y,n,45.3273058293,-75.7437000687
223,1207,25196,1701 WOODROFFE AVE Nepean,asphalt,110,5,n,none,y,n,45.327045793,-75.7465983313
224,449,25223,135 CRAIG HENRY DR Nepean,asphalt,32,2,n,none,y,n,45.3332219592,-75.7739882015
225,1109,4970,2240 TORQUAY AVE Old Ottawa,asphalt,145,4,n,none,y,n,45.3481666693,-75.7744333332
226,393,25197,58 FIELDROW ST Nepean,asphalt,30,0,n,none,n,n,45.3448242763,-75.7376556048
227,518,25198,76 INVERNESS AVE Nepean,asphalt,8,1,n,none,y,n,45.3592500028,-75.7217666668
228,31,4948,1665 APELDOORN AVE Old Ottawa,asphalt,20,4,n,none,n,n,45.3598459029,-75.7026449864
229,889,25199,6047 PRINCE OF WALES DR Rideau,gravel,15,0,n, ,n,n,45.1740116798,-75.7159105627
230,1171,25200,1604 OLD WELLINGTON ST Rideau,asphalt,50,0,n,none,y,n,45.1490268808,-75.6478545023
231,1510,25202,2549 DONNELLY DR Rideau,gravel,10,0,n,none,n,y,45.0655588199,-75.6626644649
232,273,25203,2300 COMMUNITY WAY Rideau,asphalt,60,0,n,none,y,n,45.1305647142,-75.7116427361
233,273,25204,2300 COMMUNITY WAY Rideau,asphalt,40,2,n,none,y,n,45.129749424,-75.711524066
234,273,25205,2300 COMMUNITY WAY Rideau,gravel,100,0,n,none,n,n,45.1307389391,-75.7095492044
235,1314,25206,7747 GREENLINE RD Rideau,gravel,14,0,n,none,n,n,45.0735482879,-75.6432276574
236,1074,4909,260 SUNNYSIDE AVE Old Ottawa,asphalt,0,0,n, ,n, ,45.3945987599,-75.6818863156
237,1159,25209,10 WARNER COLPITTS LANE Goulbourn,asphalt,100,2,n,none,y,y,45.2610083582,-75.9259157557
238,1160,25210,10 WARNER COLPITTS LANE Goulbourn,gravel,50,0,n,none,n,y,45.2592868439,-75.9283587628
239,392,25211,1751 MAIN ST Goulbourn,gravel,10,0,n,none,n,n,45.2500630341,-75.9109140622
240,1620,25212,3412 RICHMOND RD Nepean,asphalt,22,0,n,none,n,n,45.3391336502,-75.8091089847
241,1620,25213,3412 RICHMOND RD Nepean,gravel,30,0,n,none,n,y,45.3411258807,-75.8081260068
242,850,25214,3901 RIDEAU VALLEY DRIVE,gravel,100,0,n,none,n,n,45.2471170261,-75.7098093426
243,713,25216,1140 MILL ST Rideau,asphalt,17,0,n,none,y,n,45.2256725701,-75.6839178727
244,531,25217,3131 JOCKVALE RD Nepean,asphalt,50,2,n,none,y,n,45.2691194989,-75.7508803915
245,1087,25218,44 TARTAN DR Nepean,asphalt,22,1,n,none,n,n,45.2673023704,-75.7612690787
246,311,25219,16 ROWLEY AVE Nepean,asphalt,3,2,n,none,y,n,45.3491532296,-75.7417900129
247,311,25220,16 ROWLEY AVE Nepean,asphalt,15,1,n,none,y,n,45.3492612794,-75.7413453748
248,849,25221,1463 PRINCE OF WALES DR Old Ottawa,asphalt,10,0,n,none,y,n,45.3676401049,-75.7002777905
249,493,4915,804 HOG'S BACK RD Old Ottawa,asphalt,50,0,n,none,y,n,45.3689920102,-75.6994952216
250,1016,25207,5495 SOUTH RIVER DR Rideau,asphalt,50,0,n,none,y,n,45.2302071196,-75.6796267902
251,1607,25227,727 TRIM RD Cumberland,gravel,300,0,y,meters,n,n,45.5050443965,-75.4922664105
252,1608,25228,1046 ST JOSEPH BLVD Innes,gravel,200,0,n,none,y,y,45.4522333359,-75.5768833337
253,992,25229,813 SHEFFORD RD Gloucester,gravel,150,0,n,none,n,n,45.4594541633,-75.5859489477
254,1611,25230,3911 CARP RD West Carleton,asphalt,20,1,n,none,y,n,45.3512833359,-76.0471666666
255,1611,25232,3911 CARP RD West Carleton,gravel,40,0,n,none,n,n,45.352083336,-76.0528333329
256,1614,25233,821 MARCH RD Kanata,gravel,25,0,n,none,y,n,45.3555263863,-75.9339638163
257,186,25234,3127 CARLING AVE Nepean,asphalt,95,2,n,none,y,n,45.350383336,-75.8177166671
